,num_observations,rel_error,seed,signal_dimension,sparsity
173,62,0.02088432448688927,0,100,2
174,67,0.022012151402763986,0,100,2
175,72,0.022662340890255147,0,100,2
176,78,0.02352744662269608,0,100,2
177,85,0.02391663311216934,0,100,2
178,92,0.02355741768303417,0,100,2
179,100,0.023191375618230894,0,100,2
180,10,1.1210308083899485,0,100,2
181,10,1.1210308083899485,0,100,2
182,11,0.9818905154856766,0,100,2
183,12,0.8448175123520998,0,100,2
184,13,0.021178960084897235,0,100,2
185,14,0.020594551506815103,0,100,2
186,16,0.022940949148168507,0,100,2
187,17,0.014768270658629427,0,100,2
188,18,0.015354863093290486,0,100,2
189,20,0.016764635086978334,0,100,2
190,22,0.017193739234283304,0,100,2
191,23,0.01797342731565598,0,100,2
192,25,0.018363353611836962,0,100,2
193,28,0.020454315815296976,0,100,2
194,30,0.020816260810931523,0,100,2
195,32,0.01949545699598524,0,100,2
196,35,0.017232841069654156,0,100,2
197,38,0.01786050163331181,0,100,2
198,41,0.01840322429335295,0,100,2
199,45,0.019764091135349295,0,100,2
200,48,0.018839352706857996,0,100,2
201,52,0.019400958331722437,0,100,2
202,57,0.02078265835528545,0,100,2
203,62,0.02088432448688927,0,100,2
204,67,0.022012151402763986,0,100,2
205,72,0.022662340890255147,0,100,2
206,78,0.02352744662269608,0,100,2
207,85,0.02391663311216934,0,100,2
208,92,0.02355741768303417,0,100,2
209,100,0.02319137561823095,0,100,2
210,10,1.0184833173174395,0,100,3
211,10,1.0184833173174395,0,100,3
212,11,1.0081184278672444,0,100,3
213,12,0.9713318340580483,0,100,3
214,13,0.023684578695440973,0,100,3
215,14,0.023307838886836154,0,100,3
216,16,0.026363549653190453,0,100,3
217,17,0.019717432696716546,0,100,3
218,18,0.020646737525963247,0,100,3
219,20,0.022859167209012276,0,100,3
220,22,0.024494289825513264,0,100,3
221,23,0.025302787018216942,0,100,3
222,25,0.026374645993772705,0,100,3
223,28,0.028376649886525704,0,100,3
224,30,0.03032861624889614,0,100,3
225,32,0.028104513042722285,0,100,3
226,35,0.025701952654460132,0,100,3
227,38,0.02668138223635958,0,100,3
228,41,0.02852387308402602,0,100,3
229,45,0.030024417388541124,0,100,3
230,48,0.028136970011779273,0,100,3
231,52,0.026382522934444826,0,100,3
232,57,0.027502243320412643,0,100,3
233,62,0.027272202827138207,0,100,3
234,67,0.02814976532377718,0,100,3
235,72,0.028833622159188926,0,100,3
236,78,0.029196479552343755,0,100,3
237,85,0.029194602379563585,0,100,3
238,92,0.02892141888717895,0,100,3
239,100,0.02874324334000829,0,100,3
240,10,1.0184833173174395,0,100,3
241,10,1.0184833173174395,0,100,3
242,11,1.0081184278672444,0,100,3
243,12,0.9713318340580483,0,100,3
244,13,0.023684578695440973,0,100,3
245,14,0.023307838886836154,0,100,3
246,16,0.026363549653190453,0,100,3
247,17,0.019717432696716546,0,100,3
248,18,0.020646737525963247,0,100,3
249,20,0.022859167209012276,0,100,3
250,22,0.024494289825513264,0,100,3
251,23,0.025302787018216942,0,100,3
252,25,0.026374645993772705,0,100,3
253,28,0.028376649886525704,0,100,3
254,30,0.03032861624889614,0,100,3
255,32,0.028104513042722285,0,100,3
256,35,0.025701952654460132,0,100,3
257,38,0.02668138223635958,0,100,3
258,41,0.02852387308402602,0,100,3
259,45,0.030024417388541124,0,100,3
260,48,0.028136970011779273,0,100,3
261,52,0.026382522934444826,0,100,3
262,57,0.027502243320412643,0,100,3
263,62,0.027272202827138207,0,100,3
264,67,0.02814976532377718,0,100,3
265,72,0.028833622159188926,0,100,3
266,78,0.029196479552343755,0,100,3
267,85,0.029194602379563585,0,100,3
268,92,0.02892141888717895,0,100,3
269,100,0.028743243340007583,0,100,3
270,10,1.0876119336280816,0,100,4
271,10,1.0876119336280816,0,100,4
272,11,0.9935766456532032,0,100,4
273,12,1.0020312273584948,0,100,4
274,13,0.036111907238372584,0,100,4
275,14,0.03869864999758167,0,100,4
276,16,0.03059667416330615,0,100,4
277,17,0.02967953729342713,0,100,4
278,18,0.03037322328565428,0,100,4
279,20,0.032964367200484686,0,100,4
280,22,0.03567952357812714,0,100,4
281,23,0.03718049406806426,0,100,4
282,25,0.03693374669832489,0,100,4
283,28,0.03770824246695126,0,100,4
284,30,0.03934168723527168,0,100,4
285,32,0.03869565816792295,0,100,4
286,35,0.03805565958051181,0,100,4
287,38,0.03764455847051757,0,100,4
288,41,0.03901387677169438,0,100,4
289,45,0.04116380212021905,0,100,4
290,48,0.04085366570689372,0,100,4
291,52,0.03568766485605192,0,100,4
292,57,0.0378526810138182,0,100,4
293,62,0.03935860641075001,0,100,4
294,67,0.039335869444523226,0,100,4
295,72,0.03840598937922864,0,100,4
296,78,0.03712862661742789,0,100,4
297,85,0.03881122975128031,0,100,4
298,92,0.039882639796758684,0,100,4
299,100,0.03931835118877601,0,100,4
300,10,1.0876119336280816,0,100,4
301,10,1.0876119336280816,0,100,4
302,11,0.9935766456532032,0,100,4
303,12,1.002031227358495,0,100,4
304,13,0.036111907238372584,0,100,4
305,14,0.03869864999758167,0,100,4
306,16,0.03059667416330615,0,100,4
307,17,0.02967953729342713,0,100,4
308,18,0.03037322328565428,0,100,4
309,20,0.032964367200484686,0,100,4
310,22,0.03567952357812714,0,100,4
311,23,0.03718049406806426,0,100,4
312,25,0.03693374669832489,0,100,4
313,28,0.03770824246695126,0,100,4
314,30,0.03934168723527168,0,100,4
315,32,0.03869565816792295,0,100,4
316,35,0.03805565958051181,0,100,4
317,38,0.03764455847051757,0,100,4
318,41,0.039013876771694385,0,100,4
319,45,0.04116380212021905,0,100,4
320,48,0.04085366570689372,0,100,4
321,52,0.035687664856051925,0,100,4
322,57,0.0378526810138182,0,100,4
323,62,0.03935860641075001,0,100,4
324,67,0.039335869444523226,0,100,4
325,72,0.03840598937922864,0,100,4
326,78,0.03712862661742789,0,100,4
327,85,0.03881122975128032,0,100,4
328,92,0.039882639796758684,0,100,4
329,100,0.039318351188776426,0,100,4
330,10,1.1283179158084735,0,100,5
331,10,1.1283179158084735,0,100,5
332,11,1.113309989376995,0,100,5
333,12,1.0539716191013375,0,100,5
334,13,0.7005083327961297,0,100,5
335,14,0.693344449384704,0,100,5
336,16,0.054258517772112144,0,100,5
337,17,0.05634845175214011,0,100,5
338,18,0.05317507206888296,0,100,5
339,20,0.04235165699846213,0,100,5
340,22,0.04657129540165802,0,100,5
341,23,0.047951450526607604,0,100,5
342,25,0.04293315836936605,0,100,5
343,28,0.043147886657979806,0,100,5
344,30,0.04584681420859556,0,100,5
345,32,0.04914034825909931,0,100,5
346,35,0.0528587398391568,0,100,5
347,38,0.05418592833517452,0,100,5
348,41,0.05222614142734046,0,100,5
